billing_month,customer_id,"Current Month Revenue","Previous Month Revenue","Net MRR Change","Net MRR Percent Change"
2024-11-01,10001,2000.00,0.00,2000.00,0.01000000
2024-12-01,10001,5000.00,2000.00,3000.00,0.01500000
2025-01-01,10001,5000.00,5000.00,0.00,0.00000000
2025-02-01,10001,5000.00,5000.00,0.00,0.00000000
2025-03-01,10001,5000.00,5000.00,0.00,0.00000000
2025-04-01,10001,5000.00,5000.00,0.00,0.00000000
2025-05-01,10001,5000.00,5000.00,0.00,0.00000000
2025-06-01,10001,5000.00,5000.00,0.00,0.00000000
2025-07-01,10001,5000.00,5000.00,0.00,0.00000000
2025-08-01,10001,5000.00,5000.00,0.00,0.00000000
2025-09-01,10001,5000.00,5000.00,0.00,0.00000000
2025-10-01,10001,5000.00,5000.00,0.00,0.00000000
2025-11-01,10001,5000.00,5000.00,0.00,0.00000000
2025-12-01,10001,5000.00,5000.00,0.00,0.00000000
2026-01-01,10001,5000.00,5000.00,0.00,0.00000000
2026-02-01,10001,5000.00,5000.00,0.00,0.00000000
2026-03-01,10001,5000.00,5000.00,0.00,0.00000000
2026-04-01,10001,5000.00,5000.00,0.00,0.00000000
2026-05-01,10001,5000.00,5000.00,0.00,0.00000000
2026-06-01,10001,5000.00,5000.00,0.00,0.00000000
2026-07-01,10001,5000.00,5000.00,0.00,0.00000000
2026-08-01,10001,5000.00,5000.00,0.00,0.00000000
2026-09-01,10001,5000.00,5000.00,0.00,0.00000000
2026-10-01,10001,5000.00,5000.00,0.00,0.00000000
2026-11-01,10001,3000.00,5000.00,-2000.00,-0.00400000
2025-03-01,10003,403.23,0.00,403.23,0.01000000
2025-04-01,10003,2500.00,403.23,2096.77,0.05199936
2025-05-01,10003,2500.00,2500.00,0.00,0.00000000
2025-06-01,10003,2500.00,2500.00,0.00,0.00000000
2025-07-01,10003,2500.00,2500.00,0.00,0.00000000
2025-08-01,10003,2500.00,2500.00,0.00,0.00000000
2025-09-01,10003,2630.10,4596.77,-1966.67,-0.00427837
2025-10-01,10003,4000.00,533.33,3466.67,0.06500047
2025-11-01,10003,4000.00,4000.00,0.00,0.00000000
2025-12-01,10003,4000.00,4000.00,0.00,0.00000000
2026-01-01,10003,4000.00,4000.00,0.00,0.00000000
2026-02-01,10003,4000.00,4000.00,0.00,0.00000000
2026-03-01,10003,4000.00,4000.00,0.00,0.00000000
2026-04-01,10003,4000.00,4000.00,0.00,0.00000000
2026-05-01,10003,4000.00,4000.00,0.00,0.00000000
2026-06-01,10003,4000.00,4000.00,0.00,0.00000000
2026-07-01,10003,4000.00,4000.00,0.00,0.00000000
2026-08-01,10003,4000.00,4000.00,0.00,0.00000000
2026-09-01,10003,3466.67,4000.00,-533.33,-0.00133333
2024-12-01,10005,5322.58,0.00,5322.58,0.01000000
2025-01-01,10005,7500.00,5322.58,2177.42,0.00409091
2025-02-01,10005,7500.00,7500.00,0.00,0.00000000
2025-03-01,10005,7500.00,7500.00,0.00,0.00000000
2025-04-01,10005,7500.00,7500.00,0.00,0.00000000
2025-05-01,10005,7500.00,7500.00,0.00,0.00000000
2025-06-01,10005,7500.00,7500.00,0.00,0.00000000
2025-07-01,10005,7500.00,7500.00,0.00,0.00000000
2025-08-01,10005,7500.00,7500.00,0.00,0.00000000
2025-09-01,10005,7500.00,7500.00,0.00,0.00000000
2025-10-01,10005,7500.00,7500.00,0.00,0.00000000
2025-11-01,10005,7500.00,7500.00,0.00,0.00000000
2025-12-01,10005,7500.00,7500.00,0.00,0.00000000
2026-01-01,10005,7500.00,7500.00,0.00,0.00000000
2026-02-01,10005,7500.00,7500.00,0.00,0.00000000
2026-03-01,10005,7500.00,7500.00,0.00,0.00000000
2026-04-01,10005,7500.00,7500.00,0.00,0.00000000
2026-05-01,10005,7500.00,7500.00,0.00,0.00000000
2026-06-01,10005,2177.42,7500.00,-5322.58,-0.00709677
2025-01-01,10007,5806.45,0.00,5806.45,0.01000000
2025-02-01,10007,10000.00,5806.45,4193.55,0.00722223
2025-03-01,10007,10000.00,10000.00,0.00,0.00000000
2025-04-01,10007,10000.00,10000.00,0.00,0.00000000
2025-05-01,10007,10000.00,10000.00,0.00,0.00000000
2025-06-01,10007,10000.00,10000.00,0.00,0.00000000
2025-07-01,10007,10000.00,10000.00,0.00,0.00000000
2025-08-01,10007,10000.00,10000.00,0.00,0.00000000
2025-09-01,10007,10000.00,10000.00,0.00,0.00000000
2025-10-01,10007,10000.00,10000.00,0.00,0.00000000
2025-11-01,10007,10000.00,10000.00,0.00,0.00000000
2025-12-01,10007,10000.00,10000.00,0.00,0.00000000
2026-01-01,10007,4193.55,10000.00,-5806.45,-0.00580645
2025-05-01,10010,2806.45,0.00,2806.45,0.01000000
2025-06-01,10010,3000.00,2806.45,193.55,0.00068966
2025-07-01,10010,3000.00,3000.00,0.00,0.00000000
2025-08-01,10010,4354.84,6000.00,-1645.16,-0.00274193
2025-09-01,10010,4500.00,1354.84,3145.16,0.02321425
2025-10-01,10010,4500.00,4500.00,0.00,0.00000000
2025-11-01,10010,1693.55,4500.00,-2806.45,-0.00623656
2025-12-01,10010,1500.00,1693.55,-193.55,-0.00114287
2026-01-01,10010,1500.00,1500.00,0.00,0.00000000
2026-02-01,10010,1500.00,1500.00,0.00,0.00000000
2026-03-01,10010,1500.00,1500.00,0.00,0.00000000
2026-04-01,10010,1500.00,1500.00,0.00,0.00000000
2026-05-01,10010,1500.00,1500.00,0.00,0.00000000
2026-06-01,10010,1500.00,1500.00,0.00,0.00000000
2026-07-01,10010,1500.00,1500.00,0.00,0.00000000
2026-08-01,10010,145.16,1500.00,-1354.84,-0.00903227
2025-05-01,10011,4435.48,0.00,4435.48,0.01000000
2025-06-01,10011,5500.00,4435.48,1064.52,0.00240001
2025-07-01,10011,5500.00,5500.00,0.00,0.00000000
2025-08-01,10011,5500.00,5500.00,0.00,0.00000000
2025-09-01,10011,5500.00,5500.00,0.00,0.00000000
2025-10-01,10011,5500.00,5500.00,0.00,0.00000000
2025-11-01,10011,5500.00,5500.00,0.00,0.00000000
2025-12-01,10011,5500.00,5500.00,0.00,0.00000000
2026-01-01,10011,5500.00,5500.00,0.00,0.00000000
2026-02-01,10011,5500.00,5500.00,0.00,0.00000000
2026-03-01,10011,5500.00,5500.00,0.00,0.00000000
2026-04-01,10011,5500.00,5500.00,0.00,0.00000000
2026-05-01,10011,1064.52,5500.00,-4435.48,-0.00806451
